id,name,glottocode,iso639_3,macroarea,latitude,longitude,family
1143,Paama (Laul),paam1238,pma,Papunesia,-16.47548,168.23693,Austronesian
1144,"Ambae, West (Ngwatua)",west2513,nnd,Papunesia,-15.4281,167.807,Austronesian
1145,Baetora (Navenevene),baet1237,btr,Papunesia,-15.2574,168.159,Austronesian
1146,Uripiv-Wala-Rano-Atchin (Wala),urip1239,upv,Papunesia,-16.00951,167.34643,Austronesian
1147,Enfitena,sout2869,nwi,Papunesia,-19.57953,169.35603,Austronesian
1148,Imreang,sout2869,nwi,Papunesia,-19.57953,169.35603,Austronesian
1149,Valpei (Hukua),valp1237,vlp,Papunesia,-14.712,166.606,Austronesian
1150,Rerep,rere1240,pgk,Papunesia,-16.2934,167.651,Austronesian
1151,Polonombauk,polo1242,plb,Papunesia,-15.4653,167.09,Austronesian
1152,Tolomako,tolo1255,tlm,Papunesia,-15.1569,166.772,Austronesian
1153,Toga,loto1240,lht,Papunesia,-13.334872,166.634338,Austronesian
1154,Narango,nara1263,nrg,Papunesia,-15.5259,167.047,Austronesian
1155,Aneityum,anei1239,aty,Papunesia,-20.1864,169.825,Austronesian
1156,Baetora (Narovorovo),naro1250,btr,Papunesia,,,Austronesian
1157,"Efate, North (Nguna)",ngun1274,llp,Papunesia,,,Austronesian
1158,Merei,mere1242,lmb,Papunesia,-15.2839,166.905,Austronesian
1159,Mae,maee1241,mme,Papunesia,-15.9914,167.288,Austronesian
1160,Banam Bay (Lepaxsivir),burm1263,vrt,Papunesia,-16.41653,167.73124,Austronesian
1161,Nahavaq (Benour),sout2857,sns,Papunesia,-16.5116,167.477,Austronesian
1162,Apma,apma1240,app,Papunesia,-15.8559,168.189,Austronesian
1163,Fila,fila1237,mxe,Papunesia,,,Austronesian
1164,V'ënen Taut (Unmet),bign1238,nmb,Papunesia,-16.0903,167.239,Austronesian
1165,Raga,hano1246,lml,Papunesia,-15.5432,168.167,Austronesian
1166,Nokuku,noku1237,nkk,Papunesia,-14.8974,166.603,Austronesian
1167,Fortsenal,fort1240,frt,Papunesia,-15.4484,166.931,Austronesian
1168,Lehali,leha1243,tql,Papunesia,-13.5043,167.332,Austronesian
1169,V'ënen Taut (Leviamp),bign1238,nmb,Papunesia,-16.0903,167.239,Austronesian
1170,Uripiv-Wala-Rano-Atchin (Pinalum),urip1239,upv,Papunesia,-16.00951,167.34643,Austronesian
1171,Sa,saaa1241,sax,Papunesia,-15.9534,168.228,Austronesian
1172,Nume,nume1241,tgs,Papunesia,-14.230149,167.593474,Austronesian
1173,Sowa,sowa1244,sww,Papunesia,-15.82653,168.18653,Austronesian
1174,Shark Bay,shar1244,ssv,Papunesia,-15.255284,167.138859,Austronesian
1175,Lemerig (Sasar),leme1238,lrz,Papunesia,-13.739697,167.420676,Austronesian
1176,Axamb,axam1237,ahb,Papunesia,-16.4838,167.707,Austronesian
1177,Bierebo (Tavio),bier1244,bnk,Papunesia,-16.6663,168.154,Austronesian
1178,Malua Bay (Petarmur),malu1245,mll,Papunesia,-15.9813,167.208,Austronesian
1179,Wusi (Nonona),wusi1237,wsi,Papunesia,-15.2786,166.696,Austronesian
1180,Ulithian,ulit1238,uli,Papunesia,9.961388,139.603611,Austronesian
1181,Fatakai (Nuaulu),sout2895,nxl,Papunesia,-3.23411,129.148,Austronesian
1182,Mentawai (Ngangan Sakalagan),ment1249,mwv,Papunesia,-1.41092,98.9401,Austronesian
1183,Enggano,engg1245,eno,Papunesia,-5.38846,102.245,Austronesian
1184,Malagasy (Sakalava),saka1291,skg,Africa,-20.28,44.32,Austronesian
1185,Mentawai (Pagai and Sipora),ment1249,mwv,Papunesia,-1.41092,98.9401,Austronesian
1186,Malagasy (Tandroy),tand1256,tdx,Africa,-24.80155,45.9,Austronesian
1187,Nyelâyu,nyal1254,yly,Papunesia,-19.72,163.66,Austronesian
1188,Houaïlou,houa1234,aji,,,,Austronesian
1189,Proto Northern Central Vanuatu,nort3195,,,,,Austronesian
1190,Malagasy (Tanala),plat1254,plt,Africa,-19.5907,47.1211,Austronesian
1191,Bangka Malay,bang1365,mfb,Papunesia,-1.73288,105.897,Austronesian
1192,Jambi Malay,jamb1236,jax,Papunesia,-2.6469,103.13,Austronesian
1193,Lom (Mapurese),bang1365,mfb,Papunesia,-1.73288,105.897,Austronesian
1194,Hewa,sika1262,ski,Papunesia,-8.67302,122.38,Austronesian
1195,Proto-Kimbe,,,,,,
